Text,Difficulty
"Dans le civil, Sperello di Serego Alighieri est un astrophysicien, membre de l’observatoire d’Acetri, à Florence.",A2
"Mais il est aussi un descendant de dix-neuvième génération de Dante, ce qui lui confère certaines responsabilités vis-à-vis de son très lointain et très prestigieux aïeul.",B2
"Tel est en tout cas l’avis d’un avocat florentin, l’honorable Alessandro Traversi, qui a invité le scientifique à représenter les intérêts de son ancêtre lors de l’examen d’une fausse requête en révision du procès de Dante.",B2
"Organisée à l’occasion du 700e anniversaire de la mort du poète, la fausse audience prendra la forme d’un congrès qui doit se tenir le 21 mai prochain, selon les informations du Corriere della Sera.",B2
"Le chancelier autrichien a annoncé ne plus vouloir dépendre de l’Union européenne pour la production de vaccins et que, avec la Première ministre danoise, il allait engager des discussions avec Israël.",B2
"La Hongrie, la Slovaquie et la Pologne font appel à la Russie et la Chine.",B1
"Pour la presse, la solidarité européenne en matière de vaccination “s’effondre”.",B2
"Le chancelier autrichien a critiqué le fonctionnement de l’Agence européenne du médicament, “trop lente pour approuver les vaccins”, ce qui conduit “à des goulots d’étranglement” dans la chaîne de production des sociétés pharmaceutiques, ajoute Der Standard.",C1
"“Nous devons nous préparer à de nouvelles mutations du coronavirus et ne plus dépendre uniquement de l’UE pour la production de vaccins de deuxième génération”, a-t-il ajouté.",B1
"Au moins sept manifestants pro-démocratie ont été tués et plusieurs blessés mercredi en Birmanie par les forces de sécurité qui continuent à tirer à balles réelles, un échec pour la communauté internationale dans l'incapacité d'interrompre la spirale de violence meurtrière.",C1
"Trois hommes et une femme ont été abattus lors d'un rassemblement anti-coup d'Etat dans la ville de Monywa (centre), ont indiqué à l'AFP des sources médicales.",C1
"A 130 kilomètres de là, à Mandalay, deux protestataires sont décédés après avoir été touchés par des tirs à la tête et à la poitrine, d'après un médecin sous couvert d'anonymat par peur des représailles.",C1
Des images diffusées sur les réseaux sociaux montraient le jeune manifestant couvert de sang transporté loin des barricades par ses amis.,C1
"Sur d'autres, on entendait une série de détonations, tandis que des contestataires scandaient: notre révolte doit réussir.",C1
"Les forces de l'ordre ont tiré des gaz lacrymogènes, des munitions en caoutchouc et des balles réelles, selon un secouriste.",B2
"La journée de dimanche a été particulièrement meurtrière avec au moins 18 morts dans les rangs des manifestants, d'après les Nations Unies.",B2
"Malgré cela, des protestataires continuent à descendre dans les rues pour demander le départ des généraux putschistes et la libération des centaines de détenus emprisonnés ces dernières semaines.",C1
"Près de la pagode Sule, dans le centre de Rangoun, la capitale économique, un sit-in a été organisé, les manifestants déposant à terre les couvercles de poubelles qui leur servent de boucliers de fortune.",C1
"L'ex-président de la République, Win Myint, déjà inculpé pour ne pas avoir respecté des restrictions liées au coronavirus, est désormais accusé d'avoir enfreint la Constitution, a indiqué à l'AFP l'avocat Khin Maung Zaw.",C1
"D'après ce texte récemment amendé par la junte pour tenter de mettre un terme à la campagne de désobéissance civile lancée dans les heures qui ont suivi le coup d'Etat, ils encourent jusqu'à trois ans de détention.",C1
Les six hommes sont détenus dans la tristement célèbre prison d'Insein de Rangoun où de nombreux prisonniers politiques ont effectué de lourdes peines sous les dictatures précédentes,C1
"Même l'ambassadeur birman aux Nations unies, Kyaw Moe Tun, a rompu de manière spectaculaire avec les généraux putschistes la semaine dernière en appelant à mettre fin au coup d'Etat.",C1
"Depuis, la junte lui a désigné un remplaçant aux Nations Unies, tandis que Kyaw Moe Tun assure toujours représenter le pays, un imbroglio juridique qui devra être tranché par l'ONU.",C1
Les entretiens vont se poursuivre à l'international.,A2
Le Royaume-Uni a demandé une nouvelle réunion du Conseil de sécurité vendredi.,B2
"Début février, ses 15 membres avaient publié une déclaration commune qui exprimait leur préoccupation sans toutefois condamner le coup d'Etat, Pékin et Moscou, alliés traditionnels de l'armée birmane, s'opposant à une telle formulation.",C1
Les derniers soulèvements populaires de 1988 et de 2007 ont été réprimés dans le sang par les militaires.,C1
"L'armée, qui conteste le résultat des élections de novembre remportées massivement par le parti d'Aung San Suu Kyi, a promis la tenue d'un nouveau scrutin.",C1
"Sollicitée, elle n'a pas répondu aux multiples requêtes de l'AFP pour commenter ces évènements.",C1
"Premier revers au Congrès pour Biden, signe des difficultés à venir.",B1
"Joe Biden a dû renoncer mardi à sa candidate pour diriger le budget à la Maison Blanche, Neera Tanden, face à l'opposition de sénateurs-clés, premier revers pour le nouveau président démocrate qui dispose d'une très courte majorité au Congrès.",B2
"Pendant des semaines, la Maison Blanche avait courtisé une poignée de sénateurs républicains et démocrates modérés qui détiennent aujourd'hui le pouvoir de bloquer, ou de sauver, ses grands projets.",B2
"J'ai accepté la demande de Neera Tanden de retirer sa candidature, a annoncé Joe Biden dans un communiqué.",B2
"Des sénateurs républicains mais aussi un démocrate s'étaient ouvertement déclarés contre son arrivée au poste de directrice du Bureau de la gestion et du budget à la Maison Blanche (OMB), un service très puissant, notamment chargé de développer le budget voulu par le président.",B2
"Les républicains se disaient outrés par d'anciens commentaires les visant nommément, tandis que des progressistes proches de Bernie Sanders la jugeaient trop centriste.",B2
"Au bout du compte, c'est un démocrate plus conservateur, Joe Manchin, qui a de fait condamné ses chances en annonçant, fin février, qu'il ne voterait pas pour elle.",B2
Il jugeait que ses déclarations ouvertement politiques auraient un impact toxique sur les relations entre le Congrès et la Maison Blanche.,B2
"Les démocrates disposent d'une très courte majorité à la chambre haute, avec 50 sénateurs contre 50 républicains.",B2
"En cas d'égalité, la vice-présidente Kamala Harris dispose d'une voix pour départager le vote.",B2
Les nominations présidentielles ont besoin de 51 voix pour être approuvées par le Sénat.,B2
Toute défection démocrate doit donc être compensée par un vote républicain.,B2
"Malheureusement, il semble désormais évident qu'il n'y a pas de voie pour obtenir une confirmation, a écrit Neera Tanden à Joe Biden en retirant sa candidature",B2
"Ancien sénateur pendant plus de 35 ans, le démocrate se targue de connaître la maison et de vouloir chercher des accords entre partis au Congrès.",B2
"Jusqu'ici, ses autres nominations ont été approuvées, souvent à une majorité écrasante.",B2
"Et les démocrates ont commencé à faire avancer ses grands projets de loi à la Chambre des représentants, où ils détiennent aussi la majorité.",B2
Mais la chute de Neera Tanden annonce les autres batailles plus rudes à venir au Sénat,B2
"Prochain obstacle, dès cette semaine: le vote attendu à la chambre haute sur le vaste plan de relance de l'économie américaine, frappée par la pandémie.",B2
Le chef de la majorité au Sénat Chuck Schumer a affirmé mardi compter sur suffisamment de voix (51) pour approuver ce projet de loi d'ici la fin de semaine.,B2
"Mais c'est uniquement parce que le texte n'inclura pas de hausse du salaire minimum, contrairement au projet initial, qu'il a pu montrer une telle assurance.",B2
"Car Joe Manchin et Kyrsten Sinema s'étaient déclarés contre cette mesure précise, menaçant de faire sombrer l'ensemble du plan d'aide qui ne compte pas, pour l'instant, de soutien républicain.",B2
"Ton direct et souvent bougon pour Joe Manchin, 73 ans, et discrétion médiatique contrastant avec les perruques et tenues colorées de Kyrsten Sinema, 44 ans, première candidate au Sénat ouvertement bisexuelle en 2018.",B2
"Le duo n'a pas grand chose en commun, mis à part ses positions relativement conservatrices, qui lui vaut les foudres des progressistes.",B2
"Avec, en premier lieu, leur opposition à une réforme du Sénat qui permettrait d'adopter toutes les lois sans passer par un premier vote requérant 60 voix.",B2
Une perspective quasi inconcevable dans un Congrès aussi divisé.,B2
"Les démocrates vont être de plus en plus en colère quand ils vont voir que le Sénat tue toutes leurs priorités, prévoit Larry Sabato, politologue à l'université de Virginie.",B2
"Les deux prochaines années, jusqu'aux élections parlementaires, devraient être marquées par l'impasse au Congrès, explique-t-il à l'AFP.",B2
"Mais je parie qu'il y aura plus de compromis que ce à quoi nous nous attendons, poursuit-il.",B2
Or les républicains veulent aussi accomplir des choses.,B2
"Car si rien de ce que les démocrates désirent ne peut passer au Sénat, rien de ce que veulent les républicains ne pourra non plus être adopté à la Chambre, ou au Sénat.",B2
"Le 7 mars 1991, 25 000 réfugiés albanais atteignent le port de Brindisi, dans la région des Pouilles.",C1
"Cet épisode, auquel la population locale répondra par un élan de solidarité inédit, marque un tournant dans l’histoire de l’Italie, confrontée pour la première fois à l’immigration de masse.",C1
Plusieurs personnes qui ont vécu ces jours tourmentés racontent.,C1
"Nous sommes les derniers, c’est depuis 10 heures du matin que les bateaux viennent s’amarrer au port, comme des essaims flottants.",C1
"Il n’y a pas eu de véritable préavis, à peine quelques signes avant-coureurs.",C1
"Quelques heures seulement avant de se lancer dans la traversée qui allait chambouler leur vie, les protagonistes eux-mêmes n’avaient pas décidé quoi que ce soit.",C1
Le gouvernement italien mettra un jour et demi avant de bouger le petit doigt.,B2
"Quelque chose qui nous a rapproché c’est que toutes les deux on était assez rebelles et assez euh, on aimait bien faire des choses qui sortaient un peu de l’ordinaire.",A1
"Je crois qu’en cinquante ans d’amitié on ne s’est pas disputées une fois, on a eu des petits mots de temps en temps mais jamais on s’est fait la tête, jamais on n’est restées sans se parler, jamais, jamais, jamais.",A1
"Alors qu'elle revenait du marché à travers la brousse, une femme laisse tomber une cruche et continue son chemin sans s'apercevoir de rien.",A1
Viens donc t'installer avec nous !,A1
Je suis le guépard tacheté.,A1
Y a-t-il de la place pour moi avec vous ?,A1
"Je m’appelle Francis-Claude Desartis, je suis le directeur du théâtre des marionnettes dans le Jardin du Luxembourg à Paris.",A2
"Vous avez la marionnette à gaine, celle que nous faisons surtout ici, qui est manipulée avec les mains.",A2
"Et vous avez la marionnette à fils, où le manipulateur est au-dessus et la marionnette a des fils reliés à l’animateur.",A2
"Tout petit, quand j’étais malade, eh bien, on mettait Blanche Neige dans mon lit pour m’endormir le soir.",A2
"Non, moi plus tard, je ferai des marionnettes comme mon papa.",A2
Il faut savoir tout faire.,A1
"Bon, la première chose bien sûr, il faut être comédien.",A1
"Et il faut construire les marionnettes, faire les costumes, faire les décors, faire la mise en scène, faire les enregistrements.",A2
C’est un métier très complet.,A1
C’est magique pour les enfants.,A1
"Ils viennent dans une salle de spectacle, avec des rideaux qui s’ouvrent, avec des couleurs, avec une mise en scène, avec des bulles, avec des flammes, avec de la fumée.",A2
Nous faisons tous les effets possibles pour les émerveiller.,A2
"Et je me demande ce que je vais faire le jour où je pourrai plus faire le spectacle, car c’est ma vie.",A2
"C’est vraiment pas un métier pour moi, c’est vraiment une passion !",A2
J’adore amuser les enfants.,A1
"À partir de deux reportages sur les vacances des Français, invitez les apprenants à parler de leurs vacances.",B1
Les apprenants feront la compréhension orale en autonomie puis les activités de production en classe.,B1
La famille Chanel découvre la maison dans laquelle elle va passer sa première semaine de vacances.,A2
"L’incertitude autour des réouvertures de frontières au plus fort de la crise a poussé cette famille à chambouler ses plans, sans regrets pour Yann.",B1
"Pour moi, c’est pas du tout frustrant, je suis très content de partir en France et ça faisait très longtemps que j’avais envie de venir en Bretagne, donc pour moi, c’était une très bonne opportunité.",B1
"Les gens voulaient fuir le monde, et généralement, là où il y avait beaucoup de monde, c’était les destinations sud.",B1
"Et la Bretagne offre cette respiration, parce que chez nous, le luxe c’est l’espace.",B1
"Mais comme tout le monde s’est dit la même chose, alors on a beaucoup plus de monde que d’habitude.",B1
Ils ont procédé à un échange de maison entre particuliers via une plateforme payante.,B1
"Cet été, ils ont été particulièrement vigilants au choix de leur logement pour qu’il soit le plus adapté au contexte sanitaire.",B1
"Les piscines partagées par exemple ou ce genre de chose, là je me suis dit, cet été, bof quoi.",B1
"Ce week-end on était à l’hôtel pour une réunion familiale, bon on hésite quoi, quand on croise les gens dans le couloir, on ne sait pas trop s’il faut porter le masque.",B1
"Pour toutes ces raisons, les réservations de logements individuels ont explosé, au détriment des logements collectifs comme les hôtels.",B1
"HomeExchange, la plateforme par laquelle la famille est passée a vu ses demandes d’échanges de maison entre particuliers doubler cet été par rapport à l’année dernière.",B1
"La Loire à vélo, c’est près de 900 kilomètres de pistes aménagées le long du fleuve.",B1
"Et cette année, ça défile !",B1
"En juillet, les cyclistes étaient près de 30 % de plus que l’an dernier à la même époque.",B1
"Une saison inespérée pour Franck Kouwenbergh qui loue des vélos à Tours, l’une des grandes villes étapes.",B1
"À la sortie du Covid, tout était annulé, un peu compliqué, on a eu vraiment très peur et ben, c’est parti du jour au lendemain.",B1
"Boum voilà, on arrive, on veut faire du vélo en famille et on a les vacances.",B1
"Et puis là, les commandes elles tombent, elles tombent, elles tombent.",A2
"Ben, on est tous débordés quoi.",A1
"Pour beaucoup de cyclistes, la récompense après plusieurs heures de route, c’est la découverte des merveilles architecturales de la région.",B1
Les châteaux de la Loire profitent eux aussi de cet engouement pour les vacances à vélo.,B1
"C’est un phénomène qui trouve une accélération formidable cette année, du fait d’un public qui a besoin de se réapproprier la nature.",B1
"Et quoi de mieux que de se promener dans cette région qui est presque conçue pour ça sur le plan historique, c’est-à-dire que tous les 15 kilomètres, vous avez un point d’intérêt, un grand château, un paysage.",B1
"Par chance, les Américains et les Italiens, traditionnellement les plus nombreux, ont été remplacés cette année par des Français à vélo.",B1
Rendez-vous au Vietnam pour une soirée chanson française.,A2
"Au programme, organisez un blind test et un karaoké en classe avec les artistes francophones des années 1960 et d’aujourd’hui.",B2
Nous sommes au Théâtre de la Jeunesse à Hanoï pour une soirée « Cabaret des artistes ».,B2
"Sur scène, des étudiants de l’École supérieure des langues étrangères.",A2
Ils interprètent des anciens succès français.,A1
"Deux d’entre eux se détachent du lot : ils chantent à la perfection, même s’ils ont un peu de difficultés à maitriser le français.",B2
Je n’ai pas beaucoup d’occasions d’écouter les chansons modernes.,A2
"Il y a beaucoup de Vietnamiens, même s’ils ne parlent pas le français, ils aiment aussi les chansons françaises.",B2
"Par exemple, comme mes parents, ils ne parlent pas le français mais ils aiment aussi les chansons françaises.",B2
Quelle est ta chanson préférée dans le spectacle ?,A1
"En tout, seize chansons interprétées sur une scène où a été reconstituée une terrasse de café parisien.",B2
"Ce que je fais dans le monde, plus particulièrement, c’est de monter des spectacles dans la langue du pays.",B2
"C’est-à-dire, ici, par exemple, j’ai monté Les Fourberies de Scapin en vietnamien.",B2
"Et j’ai fait des spectacles dans beaucoup de pays du monde, mais en cantonais, en espagnol, enfin bon, en arabe.",B2
Je ne conçois pas tellement le théâtre populaire avec un spectacle dans une langue qu’on ne comprend pas.,B2
"Non, c’est en fonction de la facilité de la chanson.",A2
"Parce que si vous prenez des chansons difficiles, vous n’y arriverez jamais!",B2
"Moi, je suis musicien, je suis violoniste.",A1
"Donc, je connais bien la musique et je sais les limites des jeunes que l’on prend et qui n’ont jamais chanté.",B2
"Il faut leur faciliter la tâche, quand même, dans les écarts, dans les rythmes.",B2
C’est pas possible de leur faire faire n’importe quoi.,B1
"Dans une grande salle au design épuré, ils sont une cinquantaine d’étudiants de 18 à 34 ans, les yeux rivés sur leur écran d’ordinateur.",B2
Tu veux me montrer les lignes de code ?,A2
"Assise à son bureau, Matina Razafimahefa, la fondatrice de Sayna, étudie les CV qui lui arrivent par centaines.",B2
Les profils retenus seront rappelés pour participer aux entretiens et aux quarante-deux heures de concours.,B2
"Aujourd’hui, Madagascar, c’est 700 personnes qui sortent des écoles en informatique.",B2
"Pourtant, on a environ 200 entreprises qui sont prêtes à embaucher par vingtaine, trentaine tous les ans et qui ont du mal à recruter des développeurs de qualité.",B2
"Le pari que l’entreprise prend chez Sayna, c’est d’avoir un impact social, puisqu’en fait, elle choisit intentionnellement de recruter un jeune qui vient d’un milieu précaire et donc, elle s’engage à lui payer sa formation et en plus de ça, à lui payer un salaire.",B2
"Ce qui fait que le jeune passe d’un niveau de vie de moins de un euros par jour à plus de six, voire sept euros par jour.",B2
"Il y a sept mois après sa formation intensive chez Sayna, Cédric Maminjanahary, 23 ans, a intégré une banque de microfinance.",B2
"Aujourd’hui, il y développe des applications stratégiques.",A2
Un rêve d’enfant réalisé.,A1
"Depuis toujours, je rêve que, en un seul clic, j’apporte de la magie à la vie !",B2
Et j’ai appris tout seul sur Youtube.,A1
"J’ai économisé mon argent de poche pour que, chaque samedi, je puisse me rendre chez un au cybercafé pour télécharger des tutos sur Internetpour le développement.",B2
"Le fait de passer par Sayna, ça a accéléré le cours de ma vie parce que maintenant, je gagne ma vie en faisant ce que j’aime le mieux au monde !",B2
"En plus d’une formation aux langages informatiques purs, Sayna impose aussi l’apprentissage d’une toute autre forme de code.",B2
"Parallèlement, on met l’accent sur le savoir-vivre en entreprise, parce que, nous, les Malgaches, dans notre culture, on n’a pas cette habitude de dire non, ou de dire : « Je ne sais pas faire ».",B2
"Et pourtant, c’est essentiel pour le bon fonctionnement d’une entreprise.",B2
Et c’est ce plus qui nous différencie des autres écoles informatiques.,B1
"C’est très important, surtout dans une dynamique d’innovation dans laquelle travaille typiquement une équipe de développement de voir, en tant que manager, que les personnes en face s’expriment indépendamment, offrent leurs pistes d’amélioration sur leur travail au quotidien.",B2
Sa société a déjà embauché deux développeurs chez Sayna l’an dernier et compte bien renouveler l’expérience en 2019,B2
"Outre les économies substantielles que permet une telle collaboration, les entreprises bénéficient désormais de jeunes formés à leurs besoins spécifiques.",B2
250 nouveaux talents seront sur le marché du travail d’ici la fin de l’année.,B1
Recherches bibliographiques et conseils d'ONG déjà spécialistes ont permis à la société de s'inscrire dans le milieu au fur et à mesure.,B1
[Elle rigole] Bonjour les poupoules !! Les p’tites cocottes ! [Un enfant imite une poule],A2
"[Les dames rient] Je pense qu’il y aurait de la bagarre, hein",A2
"500 000 personnes ont été évacuées dans cet état du Bengale, principalement près des côtes inondables de ce delta du Gange où le cyclone soufflait à 140 kilomètres heure en moyenne",B1
"À Genève, l'Organisation météorologique mondiale avoue qu'elle a du mal à trouver les mots pour décrire l'ampleur du phénomène",B1
"À partir de cette information fictive, les apprenants devront mener l’enquête en se documentant sur les lauréats, grâce à des articles et des extraits sonores de RFI",B1
"Amphan est arrivé par l'État du Bengale occidental avant de frapper sa capitale, la mégapole Calcutta",A2
"Après trois années d'acheminement dédiés à la recherche médicale, Capillum commence à collecter des cheveux pour l'environnement en janvier 2019 à la demande de plusieurs ports du sud de la France",B1
"Au menu de ce midi, ce sont les restes du repas",A2
"Aujourd'hui, elle fait encore partie des plus exposées",A2
"Aux États-Unis, le Centre national des ouragans estime qu'il y a encore 40% de chances que la zone connaisse un nouvel ouragan dans les cinq prochains jours",B1
C’est ce que font très bien les photographes documentaires,A2
"C’est l’instru – l’instrumental – qui va faire sortir les mots de ma tête, en fait",A2
"Car jusque-là, les habitants de l’État consommaient plus de 23 milliards de sacs en plastique chaque année",B1
"Ce n’est pas l’idéal, mais on n’a pas le choix",A2
Ce n’est pas la première fois qu’une catastrophe écologique se produit dans la région,A2
"Ce prix, créé en 1990 par le philanthrope californien Richard Goldman et sa femme, récompense chaque année des défenseurs de l’environnement de six zones géographiques",B1
"Ce soir, il perd de sa puissance",A2
"C'est aussi le plus tardif dit Clare Nullis, la porte-parole de l'Organisation météorologique mondiale : « C'est un record, dans tous les sens du terme",B1
C'est le mot d'ordre d'Epic écrit en grand au début du premier numéro,A2
C'est l'une des tempêtes tropicales les plus puissantes des dernières décennies avec des rafales atteignant les 175 kilomètres heure,B1
C'est même la première fois que nous voyons deux ouragans majeurs se produire au mois de novembre,A2
"Ceux-là, ils sont pas en visioconférence à plusieurs mais ils sont face à d'autres personnes en one to one, et là on se voit encore plus",B1
"De plus en plus de volontaires, professionnels ou particuliers venus de France et d'Europe, amassent des cheveux ou envoient leur masse capillaire dans des enveloppes pour sauver les récifs mauriciens",B1
De Around the world en passant par One more time,A2
Des crues soudaines et mortelles,A2
"Des expériences fortes qui ont donné des photos et des récits puissants, poétiques, à l'image de la passion qui anime les photographes documentaires",B1
"Du coup, le papier a une valeur qu’on a besoin de retrouver",A2
Edward Landayan est responsable local du bureau en charge des désastres naturels,A2
Elle raconte leur quotidien à travers les enfants qu'elle a aussi aidés à faire leurs devoirs,A2
Elles font des cracracracracraaa ! Et moi j’en fais autant : on s’amuse !,A2
"Elles sont quand même 10, ça fait ça : 2, 4, 6, non ? 8",A2
"En cas de danger, il faudra vite repartir en voiture",A2
En particulier ceux qui vivent sur l'île Taal où se trouve le volcan entouré du lac - et ils étaient près de 4 000 jusqu'ici,B1
"Et c'était pas forcément une image qui me plaisait, comme j'avais l'occasion de pouvoir les changer, j'ai voulu le faire",B1
"Et effectivement dans les zones sinistrées, c'est l'heure du bilan",A2
"Et en fait, le cheveu est capable d’absorber jusqu’à huit fois son poids en hydrocarbure",A2
"Et je pense partir et quitter ma maison, car j'élève seule mes trois enfants",A2
"Et là, on devrait avoir écoulé notre stock de plastique dans quelques jours",A2
Et on a très vite constaté que nos quantités de poubelles diminuaient,A2
"Et par rapport à toute cette frénésie, on a besoin de prendre du recul",A2
"Et puis, dans la famille, personne chantait",A2
"Face aux risques persistants de catastrophe, les autorités essaient toujours d'empêcher ceux habitant près du volcan de revenir chez eux",B1
"Il a atteint, il y a quelques heures, la côte indienne où des dégâts et une douzaine de premières victimes sont à déplorer",B1
Il a été rétrogradé en catégorie 1 alors qu'il se trouvait en catégorie 5 - rétrogradé ça veut dire qu'il est passé de cette catégorie 5 à la catégorie 1,B1
Il annonce qu'il va faire appel.,A2
Il y a une espèce de frénésie dans l’information,A2
"Ils avancent vers l’horizon, puis l’un des membres, le poing serré, explose en mille éclats",A2
"Ils disaient ça : « Mais, en fait, j’ai eu tort».",A2
Ils font du bien également aux anciens,A2
Ils observent d’un œil amusé les poules,A2
"Ils ont quitté en urgence leur maison, à l’approche des flammes et ont décidé de dormir dans leur voiture très équipée",B1
Iota est la 30e tempête tropicale de la saison dans l'Atlantique,A2
Iota est officiellement l'ouragan le plus violent de la saison dans l'Atlantique,A2
J’ai retrouvé le plaisir de manger un œuf à la coque,A2
J’en connais qu’une seule : Valérie,A2
"Je me disais voilà les produits que l’on utilise actuellement ne sont pas d’origine naturelle, clairement pas",B1
Je ne cherche pas quelque chose de précis,A2
"Je sais pas, on parle comme d’hab hein des voitures, des meufs, etcetera, etcetera",A2
Je suis toujours en recherche constante de nouveaux délires,A2
"Jean-Matthieu Gautier, co-fondateur de la revue avec Ambroise Touvet, deux quadragénaires",A2
"L’idée d’installer des poules pour aider à recycler les déchets alimentaires a germé dans la tête de Marie Labelle, présidente de l’association Éco Cocotte",B1
"La région qui avait déjà été touchée par un ouragan, du nom d'Eta, c'était il y a deux semaines",A2
"La situation demeure critique, notamment en Nouvelle-Galle du Sud, où 150 feux continuent de brûler, ce qui force les habitants de certaines villes à quitter leur maison",B1
"La trap, c’est plus axé sur certains thèmes récurrents",A2
"Là, la trap, ça vient tout droit des States et c’est tout nouveau en fait dans le rap",A2
L'ancien président français écope d'une peine de trois ans de prison dont un an ferme pour corruption et trafic d'influence.,A2
Le cyclone Amphan va ensuite continuer sa route vers le nord-est et passer au Bangladesh pendant la nuit,B1
"Le premier numéro d'Epic, c’est son nom, vient de sortir : entre le livre d'art et le magazine, la revue se propose de raconter le monde en photos et en récits",B1
"Le rap, c’est plus pour moi « boom bap », un peu ce qui se faisait avant",A2
"Le reste, ça ne m’intéresse pas du tout",A2
"L'électricité est coupée dans une grande partie de la ville et, à certains endroits, les fils électriques sont balayés par les vents et créent de violentes et dangereuses étincelles",B1
Les autorités espèrent avec cette mesure faire baisser les quantités de sacs en plastique qui se retrouvent souvent dans les eaux des rivières ou pris dans les arbres,B1
"Les autorités veulent également éviter que ces évacuations entrainent une transmission du Coronavirus et affirment que les centres d'accueil seront occupés à seulement 50% de leur capacité, ce qui est un vrai défi considérant le nombre de personnes à loger",B1
"Les lauréats du prix Goldman pour l’environnement, l’équivalent du prix Nobel, ont été dévoilés le 23 avril à San Francisco",B1
"Les New-Yorkais, surtout les commerçants vont devoir s’adapter",A2
Les rafales à plus de 110 kilomètres heure emportent la pluie à l'horizontale ; les cocotiers sont fouettés comme de simples fougères et les 15 millions d'habitants de cette mégalopole sont plongés dans le noir,B1
"Les tweets de Donald Trump qui heureusement n’existent plus vraiment, nous l’ont montré",A2
Mais ce n'est pas le cas,A2
"Mais depuis lundi, l'entreprise a largement étendu son réseau principal de coiffeurs situés à Clermont-Ferrand, Lyon et Montpellier",B1
Mais la période s'est avérée particulièrement propice pour avancer certaines opérations,A2
"Mais même après Iota, ces populations ne seront pas encore à l'abri d'un autre cataclysme",A2
"Mathieu Paley a vécu avec les Whakis, des ismaéliens, dans la montagne du Pakistan et adopté leurs coutumes",B1
Menaçant des millions de personnes au Nicaragua et au Honduras,A2
"Moi, c’est que par rapport à mon nom de famille",A2
New York espère faire baisser ses déchets,A2
Nous sommes normalement à un moment de l'année où ce genre de phénomènes est en train de diminuer,A2
"On a pris les deux et on a des trucs à grignoter, car on ne sait pas combien de temps on va rester ici",A2
On cherche aussi d’autres alternatives et ça a commencé comme ça à ce moment-là,A2
On est dans un monde de l’immédiat,A2
